"Coğrafi Kapsam";"Gözlem Sıklığı";"İstatistiksel Gösterge";"İkamet edilen yer";"Hanehalkı tipi";"ADNKS Gösterge";"Zaman";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2014";"2931085";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2015";"3113496";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2016";"3316894";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2017";"3491148";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2018";"3730505";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2019";"4062576";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2020";"4404997";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2021";"4781600";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2022";"5067331";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2023";"5192825";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2024";"5321540";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2025";"5523321";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2014";"14212489";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2015";"14497539";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2016";"14738394";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2017";"14993563";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2018";"15173997";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2019";"15623302";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2020";"16050444";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2021";"16323612";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2022";"16816288";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2023";"16779240";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2024";"16891489";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2025";"16928026";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2014";"3512384";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2015";"3578540";"";"";"";"";""
