"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"İkamet edilen yer (TR)";"ADNKS Gösterge (ORT_HH_BUYUKLUK)";"Zaman (2008)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2008";"4";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2009";"3,96347806483007";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2010";"3,83635186957308";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2011";"3,76127098046772";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2012";"3,69263240915493";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2013";"3,62878860087944";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2014";"3,57338789037543";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2015";"3,52270178642487";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2016";"3,48496868703498";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2017";"3,44690914953688";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2018";"3,41284122133473";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2019";"3,35402563292801";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2020";"3,30274829148297";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2021";"3,23415409015922";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2022";"3,16685453875718";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2023";"3,14488741105247";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2024";"3,11331686996868";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Türkiye";"Ortalama hanehalkı büyüklüğü";"2025";"3,08145206085227";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2008";"3,8";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2009";"3,83163039560615";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2010";"3,69900353830743";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2011";"3,62916213155516";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2012";"3,5695750304082";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2013";"3,52551242767354";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2014";"3,50539476558261";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2015";"3,48409887568453";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2016";"3,46291550859447";"";"";"";"";""
